object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
7,Carrot.ico  ,0.2753623,0.8054711,0.311,0.696,31906.0,31906.0,21.8739164991926,6.431386325952587,0,1,"[(0.311, 0.696)]",[31906.0],9,B,a
8,Caterp.ico  ,0.885,0.221,0.893,0.131,20039.0,20039.0,17.167422637076307,17.167422637076307,0,1,"[(0.893, 0.131)]",[20039.0],9,B,a
9,CD.ico      ,0.094,0.557,0.113,0.639,10782.0,10782.0,15.992763988754406,15.992763988754406,0,1,"[(0.113, 0.639)]",[10782.0],9,B,a
10,Eagle.ico   ,0.4637681,0.5896657,0.453,0.551,17049.0,17049.0,7.626052639538345,7.626052639538345,0,1,"[(0.453, 0.551)]",[17049.0],9,B,a
1,Calcul.ico  ,0.2927536,0.212766,0.315,0.129,9808.0,9808.0,16.467251956214675,16.467251956214675,0,1,"[(0.315, 0.129)]",[9808.0],10,NT,a
2,Camel.ico   ,0.6289855,0.08510638,0.854,0.244,56301.0,56301.0,52.337571089027946,6.846077107588974,0,1,"[(0.854, 0.244)]",[56301.0],10,NT,a
3,Camera.ico  ,0.3681159,0.556231,0.408,0.378,61296.0,61296.0,34.70142376987638,32.39325774442177,0,1,"[(0.408, 0.378)]",[61296.0],10,NT,a
4,Candle.ico  ,0.2637681,0.8632219,0.154,0.317,33476.0,33476.0,105.85701267937631,27.30439436687146,0,1,"[(0.154, 0.317)]",[33476.0],10,NT,a
5,Cap.ico     ,0.581,0.461,0.674,0.445,79045.0,79045.0,17.92959843387466,36.45723247861801,0,1,"[(0.674, 0.445)]",[79045.0],10,NT,a
6,Cards.ico   ,0.8550724,0.2218845,0.62,0.12,47550.0,28795.0,48.678387333708585,4.206882252994606,0,2,"[(-1.0, -1.0), (0.62, 0.12)]","[28795.0, 47550.0]",10,NT,a
7,Carrot.ico  ,0.8869565,0.8449848,0.817,0.822,5893.0,5893.0,13.990778624893238,13.990778624893238,0,1,"[(0.817, 0.822)]",[5893.0],10,NT,a
8,Caterp.ico  ,0.567,0.695,0.383,0.783,72758.0,72758.0,38.75254830330516,12.594578198574164,0,1,"[(0.383, 0.783)]",[72758.0],10,NT,a
9,CD.ico      ,0.074,0.421,0.21,0.62,42476.0,42476.0,45.796306619639104,24.929853589622223,0,1,"[(0.21, 0.62)]",[42476.0],10,NT,a
